idx,elevation,slope,aspect,tri,ndvi_min,ndvi_median,ndvi_mean,ndvi_max,evi_min,evi_median,evi_mean,evi_max,ndwi_min,ndwi_median,ndwi_mean,ndwi_max,prec_min,prec_median,prec_mean,prec_max,prec_sum,lst_min,lst_median,lst_mean,lst_max,is_fire
22,1218.0,89.99627685546875,37.87498474121094,,-0.09120924473792816,0.5723817812590659,0.41091307288187784,0.7721076546662006,-0.6874333451830775,0.2538074555590487,0.17198164853269526,0.35852749651823695,-0.09738294463236598,0.14441076726869195,0.1724173647505851,0.5436946902654868,0.0,0.0,0.6396083761069734,10.51218032836914,37.73689419031143,,,,,True
23,273.0,89.9597396850586,198.43495178222656,,0.016570327552986486,0.34058810194907685,0.26717349225926407,0.4844025897586815,0.05290354330708648,0.2250484624113721,0.20331587554664798,0.31031846286816034,0.045760743321718964,0.11726078799249529,0.10067772010633502,0.1735919565797669,0.0,0.0,0.6950086001511458,9.957274436950684,63.24578261375427,294.1,294.22,294.22,294.34000000000003,True
24,0.0,0.0,,,-0.0008113337077950245,0.5123583934088568,0.4391084871673679,0.8414704192992533,-0.00417442681908666,0.27041880596430623,0.26020913357772235,0.3638683245885143,0.09159005788219275,0.17768695300177023,0.19086685382970123,0.4119333848020293,0.0,0.0,0.6334395277631152,8.861422538757324,57.64299702644348,280.3,293.81,294.10333333333335,302.58,True
25,334.0,89.98726654052734,0.0,,0.3802386050780055,0.5405940594059406,0.5208508136841467,0.6182921138590761,0.20799473724943893,0.2592064266676677,0.2527819696678127,0.2989536621823617,0.03996124969726329,0.10957951115762982,0.10389771506195425,0.1564705882352941,0.0,0.0,0.589642767906189,11.931434631347656,29.48213839530945,292.68,299.98,299.23062500000003,304.34000000000003,True
18,1350.0,89.99845886230469,128.11827087402344,,0.015109343936381756,0.3830093592512599,0.3177088963143715,0.5552407932011332,0.05157787580590445,0.2295531197301855,0.20803990299997357,0.33239896242992223,0.034185733512785976,0.13739946324326552,0.15999982627437542,0.33857648446716476,0.0,0.0,0.5248123053666,16.699359893798828,47.757919788360596,293.04,302.18,302.31636363636363,310.0,True
19,1802.0,89.99925994873047,227.8155517578125,,0.012238086408307158,0.5132178669097539,0.48213351783147423,0.7217391304347825,0.03707448601280782,0.2601123169158382,0.24808462655998711,0.34396455507829676,-0.03802816901408449,0.012758837063375909,0.03481623284610798,0.13884992987377281,0.0,0.0,0.8682421856239194,18.84102439880371,52.96277332305908,284.38,297.61,297.01913043478265,307.26,True
26,1385.0,89.99915313720703,168.84005737304688,,0.1964769647696477,0.435759209344115,0.40456678568840343,0.5571600481347774,0.14695449478058176,0.25482223903177,0.2459696542041915,0.32474402730375423,0.026926153025859767,0.055646779784710866,0.12687503983554607,0.29805218669606764,0.0,0.0,0.9747164824913288,16.090129852294922,28.266777992248535,299.86,304.19000000000005,305.01416666666665,310.38,True
27,1670.0,89.9992446899414,100.91112518310547,,-0.031116819429038482,0.5433598659405111,0.4700818118018547,0.6893203883495146,-0.23894916166053992,0.24344006907166188,0.22579854373671265,0.32559638942617664,0.10286602977116198,0.20151133501259444,0.27527650333275927,0.5214521452145214,0.0,0.0,0.6437116171184339,20.72160530090332,36.69156217575073,282.62,298.44,297.18833333333333,306.1,True
28,1100.0,89.99864959716797,162.718505859375,,-0.07401267674305213,0.5207313091740123,0.41450743428988557,0.6347124117053481,-0.5191518467852262,0.2368118584281241,0.18378521099122902,0.30277937788018433,-0.0536813070231275,0.0720313421202978,0.14331287115453586,0.4921348314606741,0.0,0.0,0.4796228283330014,11.125353813171387,36.451334953308105,283.58,291.99,293.97818181818184,304.8,True
29,0.0,0.0,,,-0.004621201512393257,0.6012874809159525,0.4646027597074269,0.7106033977738723,-0.02783870423485761,0.2773705439043913,0.25162202606645345,0.38566288961366463,0.07858799278536467,0.13532856213402733,0.2000060117307397,0.48953809711804186,0.0,0.0,0.36320510539379747,10.180953025817871,33.05166459083557,278.68,289.5,289.33457627118645,297.72,True
30,195.0,89.98499298095703,45.0,,-0.025684033965824533,0.47419630484584885,0.44751728628280735,0.7545735997748383,-0.24099940979736345,0.29690385565248334,0.3024256809092011,0.5781874872907204,-0.10711124225435233,0.293910433526708,0.19012311511873867,0.3426663794960154,0.0,0.0,0.46813249588012695,9.311745643615723,42.60005712509155,291.58,304.64,304.01880597014923,316.48,True
31,1865.0,89.99917602539062,146.1038360595703,,,,,,,,,,,,,,0.0,0.0,0.26855858603676597,5.572319984436035,24.438831329345703,,,,,True
32,0.0,0.0,,,-0.009599710197427952,0.5195429945880937,0.4637748095190033,0.6562591187627662,-0.0791359745172205,0.28851222578159846,0.25888748087185504,0.40284445081321196,-0.003472222222222241,0.1701096874400856,0.19571259016417517,0.4123345172747821,0.0,0.0,0.6815409476940448,9.151398658752441,62.02022624015808,283.94,290.61,290.03625,293.56,True
33,1928.0,89.99911499023438,230.0921173095703,,0.00019982681675886096,0.5266386825960607,0.4484107536967039,0.606278613472858,0.001210067763795086,0.22642583583479978,0.20188104889863456,0.2771076149376466,0.057657657657657686,0.11736893583724572,0.18624389762601326,0.45814721305107786,0.0,0.0,0.2393467596599034,13.40341854095459,13.40341854095459,279.98,293.7,293.3951111111111,300.64,True
34,1389.0,89.9988021850586,201.50143432617188,,-0.004518256197337869,0.4479348648255231,0.34681891773840606,0.6187258687258687,-0.0212082998968244,0.2110686506500255,0.19244120334208437,0.3284132841328413,-0.020171149144254264,0.060385709769206375,0.09226544691661934,0.3024310366544905,0.0,0.0,0.41916356736963445,5.465816497802734,23.053996205329895,,,,,True
35,319.0,89.9916763305664,191.3099365234375,,0.004098360655737724,0.4216293945554619,0.40286970795915256,0.5458284371327851,0.025941497450577125,0.2934436353705865,0.28159305071427426,0.36218302094818083,0.010133121398768118,0.07849969255995082,0.10456251620527199,0.1831715210355987,0.0,0.0,0.8575875418526786,17.24933624267578,78.04046630859375,290.06,303.12,302.0964444444444,312.08,True
